Day,Month,Day,Year,DOY,AirTempMax(F),AirTempMin(F),RelHumidAvg(%),Precip(In),WindAvg(mph),WindMax(mph),Solar(ly)
6/1/2023,6,1,2023,152,81.5,65.2,84.7,0.45,3.2,16.3,353
6/2/2023,6,2,2023,153,85.6,65.1,81.4,0,3.5,23.3,461.1
6/3/2023,6,3,2023,154,85.5,62.2,84.6,0.1,3.1,19.1,403.3
6/4/2023,6,4,2023,155,87.2,59.2,67,0.01,2.2,12,6
6/5/2023,6,5,2023,156,87.9,61.1,72.3,0.06,2.4,21.3,500.5
6/6/2023,6,6,2023,157,87,57.7,66.4,0,1.9,12.1,664.4
6/7/2023,6,7,2023,158,90,60.8,59.5,0,2.2,12.3,694.7
6/8/2023,6,8,2023,159,88.3,64.1,69.6,0,2.5,10.9,490.2
6/9/2023,6,9,2023,160,84.7,61.9,70.3,1.36,4.1,28.5,638.7
6/10/2023,6,10,2023,161,77.3,63.5,84.6,0.21,2.9,13.3,311.5
6/11/2023,6,11,2023,162,75,56.8,78.6,0,6.7,20.1,382.6
6/12/2023,6,12,2023,163,74.6,52.5,66.6,0.01,2.5,10.8,611
6/13/2023,6,13,2023,164,81.9,49.4,64.3,0,1.9,10.1,613.4
6/14/2023,6,14,2023,165,83.9,59.1,62.3,0,3.2,15.2,691.6
6/15/2023,6,15,2023,166,86.7,59.5,60.4,0,3.2,12.5,619.6
6/16/2023,6,16,2023,167,89.3,64.5,58.5,0,2.4,10.4,673
6/17/2023,6,17,2023,168,85.4,63.4,67.2,0,4.1,20.9,580
6/18/2023,6,18,2023,169,85.7,62.9,66.5,0.08,3.6,16.3,624.6
6/19/2023,6,19,2023,170,91,59.9,59,0,3.7,16.8,697.1
6/20/2023,6,20,2023,171,88.9,65.4,61.1,0,4.4,18.3,691.9
6/21/2023,6,21,2023,172,86.8,67.9,63.6,0,3.9,16,508.6
6/22/2023,6,22,2023,173,89,64,64.1,0,2.8,11.2,643
6/23/2023,6,23,2023,174,91.1,71.3,56,0,4.8,16.8,622.9
6/24/2023,6,24,2023,175,95.9,65.1,60,0.01,5.1,18.7,549.9
6/25/2023,6,25,2023,176,88.1,63.5,42.7,0,7.3,21.2,713.1
6/26/2023,6,26,2023,177,89.3,57.6,48.4,0,3.4,14.8,712.6
6/27/2023,6,27,2023,178,87,61.5,57.7,0.01,4.4,17.6,516.7
6/28/2023,6,28,2023,179,99.3,70.3,56.4,0,3.9,15.2,638.9
6/29/2023,6,29,2023,180,94.3,72.6,61.3,0,4.9,28.1,586.4
6/30/2023,6,30,2023,181,94,68.4,72,0.96,4.7,23.7,566.3
7/1/2023,7,1,2023,182,85.9,66,79.2,0.07,5.2,17.7,525.5
7/2/2023,7,2,2023,183,87.6,63.6,69.2,0,2.7,12.1,587.4
7/3/2023,7,3,2023,184,92.1,62.7,63.2,0,2.8,12.8,694.5
7/4/2023,7,4,2023,185,98,65.5,60.8,1.41,5.3,38.3,670.6
7/5/2023,7,5,2023,186,79.7,66.2,83.5,0.06,4.3,15.8,404.1
7/6/2023,7,6,2023,187,79,62.5,72.5,0,2.9,13.1,473.3
7/7/2023,7,7,2023,188,82.2,63.4,77.3,0,3,11.8,426.5
7/8/2023,7,8,2023,189,76.4,63.5,75.4,0,4.8,14.6,496.7
7/9/2023,7,9,2023,190,83.4,58,69.1,0,1.6,10,616
7/10/2023,7,10,2023,191,89.1,59.2,62.8,0,4.5,16.1,683.8
7/11/2023,7,11,2023,192,93.4,69.3,61.8,0,5.1,16.1,643
7/12/2023,7,12,2023,193,90.4,73,75.1,0,5.1,19.7,494
7/13/2023,7,13,2023,194,91.4,70.8,72.5,0,2.5,12,542.2
7/14/2023,7,14,2023,195,90.1,66.5,86.6,1.27,3.7,33.7,291.6
7/15/2023,7,15,2023,196,89.4,64.4,74.7,0.01,2.5,10.5,609.8
7/16/2023,7,16,2023,197,86.6,69.3,79.8,0.01,3.1,19.3,350.1
7/17/2023,7,17,2023,198,88.7,66.2,82.4,0,3.3,17.4,594.3
7/18/2023,7,18,2023,199,87.3,68.9,82.3,0,5.5,15.4,465.4
7/19/2023,7,19,2023,200,81.3,70.1,89.7,0,3.2,14.3,194.5
